key,type,suit,set,copies,image,back_image,image_offset,title_en,title_es,text_en,text_es,back_text_en,back_text_es
Aerarium,order,Concrete,Promo,3,CardImages/Aerarium,,,Aerarium,Erario,"Use the highest influence |among players at all |times except final scoring. || |Upon completion, you may |exchange 2 influence to |trigger an 'Upon Completion' |effect on a |complete building.","Utiliza la influencia más alta |entre todos los jugadores en todo |momento excepto al puntuar. || |Al completarse, puedes |intercambiar 2 de influencia para |activar un efecto de |'Al completarse' en un |edificio completado.",,
Amphitheatre,order,Concrete,Standard,3,CardImages/Amphitheatre,,,Amphitheatre,Anfiteatro,"Upon completion, |you may perform one |CRAFTSMAN action for |each influence.","Al completarse, |puedes realizar una |acción de ARTESANO por |cada influencia que tengas.",,
Academy,order,Brick,Standard,3,CardImages/Academy,,,Academy,Academia,You may perform one THINKER action after any turn during which you performed at least one CRAFTSMAN action.,Puedes realizar una acción de PENSAR tras cualquier turno en el que hayas realizado al menos una acción de ARTESANO.,,
Aqueduct,order,Concrete,Standard,3,CardImages/Aqueduct,,,Aqueduct,Acueducto,"When performing |PATRON action, you |may take one additional client from your hand. |Maximum clientele size x2","Al realizar la |acción de MECENAS, |puedes coger un cliente adicional de tu mano. |Tamaño máximo de la clientela x2",,
Archway,order,Brick,Standard,3,CardImages/Archway,,,Archway,Arco,"When performing |ARCHITECT action, you |may take a material |from the pool |instead of your stockpile.","Al realizar la |acción de ARQUITECTO, |puedes coger un material |de la reserva |en lugar de tu almacén.",,
Atrium,order,Brick,Standard,3,CardImages/Atrium,,,Atrium,Atrio,"When performing |MERCHANT action, you |may take a card |from the deck |instead of your stockpile |(Don't look at it).","Al realizar la |acción de COMERCIANTE, |puedes coger una carta |del mazo |en lugar de tu almacén |(sin mirarla).",,
Bacchanalia,order,Stone,Promo,3,CardImages/Bacchanalia,,,Bacchanalia,Bacanal,"Upon completion, reveal |cards from the deck equal |to your influence. |You may put one into each: |your vault, your stockpile, |your clientele, as foundation |on an in-town |site, an incomplete |building as material. |Leftovers go to your hand.","Al completarse, revela |cartas del mazo igual |a tu influencia. |Puedes poner una en cada: |tu tesoro, tu almacén, |tu clientela, como cimiento |en un solar de la ciudad, |en un edificio incompleto |como material. |El resto va a tu mano.",,
Bar,order,Rubble,Standard,6,CardImages/Bar,,,Bar,Taberna,"When performing |PATRON action, you |may take one additional client card from the deck.","Al realizar la |acción de MECENAS, |puedes coger un cliente adicional del mazo.",,
Basilica,order,Marble,Standard,3,CardImages/Basilica,,,Basilica,Basílica,"When performing |MERCHANT action, you |may move one additional |card from your hand |to your vault.","Al realizar la |acción de COMERCIANTE, |puedes mover una carta |adicional de tu mano |a tu tesoro.",,
Bath,order,Brick,Standard,3,CardImages/Bath,,,Bath,Termas,"When performing |PATRON action, each |client you hire |may perform its action once |as it enters your clientele.","Al realizar la |acción de MECENAS, cada |cliente que contrates |puede realizar su acción una vez |al entrar en tu clientela.",,
